area,bedrooms,bathrooms,age,parking,location,furnishing,price
3674,2,1,27,0,Rural,Unfurnished,11109084
1360,1,2,25,1,Suburban,Furnished,4334237
1794,2,1,10,0,Rural,Furnished,5587497
1630,1,1,8,0,Suburban,Unfurnished,5004178
1595,4,2,6,0,Rural,Furnished,5149006
3592,4,2,21,2,Urban,Semi-Furnished,11201118
2138,5,1,16,0,Urban,Semi-Furnished,6834616
2669,2,3,16,2,Rural,Unfurnished,8155798
966,5,2,1,0,Urban,Semi-Furnished,3363601
1738,2,3,5,0,Suburban,Furnished,5549363
830,5,1,13,1,Urban,Semi-Furnished,2916795
1982,3,2,5,2,Rural,Unfurnished,6233462
2635,3,3,1,0,Rural,Unfurnished,8138264
3944,3,2,0,2,Suburban,Furnished,12284833
3671,3,1,9,2,Rural,Unfurnished,11168084
3419,1,3,20,1,Suburban,Semi-Furnished,10522865
630,3,1,4,1,Urban,Unfurnished,2308646
2185,4,1,1,1,Urban,Furnished,7033731
3880,4,2,21,1,Suburban,Unfurnished,11929129
1269,1,3,15,1,Suburban,Semi-Furnished,4015022
2891,3,1,24,1,Rural,Furnished,8856605
2015,3,1,1,1,Urban,Semi-Furnished,6470506
3985,3,3,9,1,Suburban,Furnished,12371130
3353,5,1,1,0,Urban,Unfurnished,10516265
2933,2,1,15,2,Suburban,Furnished,9101330
1715,5,3,15,1,Urban,Furnished,5773469
1455,2,3,18,1,Rural,Unfurnished,4504187
2824,3,3,28,2,Urban,Semi-Furnished,8871791
1684,3,3,6,0,Urban,Unfurnished,5520436
959,5,2,21,2,Urban,Furnished,3485610
3885,5,3,11,2,Urban,Unfurnished,12254962
521,2,2,23,1,Urban,Furnished,1966867
2800,4,2,14,2,Rural,Unfurnished,8622893
1247,2,2,7,2,Suburban,Unfurnished,4076694
3404,5,1,5,1,Urban,Semi-Furnished,10671773
974,5,2,27,1,Rural,Furnished,3232239
1582,1,2,26,1,Urban,Semi-Furnished,4994863
3058,5,1,9,1,Urban,Furnished,9737415
2547,1,1,2,2,Suburban,Unfurnished,7875968
